117;1;CASH_OUT;419801.4;C1687354037;38197.63;0;C33524623;499962;1517262.16
118;1;CASH_OUT;335416.51;C743778731;144478;0;C575335780;295;52415.15
119;1;PAYMENT;3372.29;C967323951;41398;38025.71;M1600594643;0;0
120;1;PAYMENT;661.43;C743648472;14078;13416.57;M692998280;0;0
121;1;DEBIT;864.68;C1368862151;69836;68971.32;C20671747;12040;43691.09
122;1;PAYMENT;1203.44;C922807452;29941;28737.56;M33563464;0;0
123;1;TRANSFER;330757.04;C1494346128;103657;0;C564160838;79676;1254956.07
124;1;PAYMENT;1915.43;C822087264;11450;9534.57;M30699728;0;0
163;1;CASH_OUT;47913.58;C141110631;0;0;C240650537;51304;0
164;1;CASH_OUT;193605.38;C2029372696;0;0;C1971489295;249452.05;0
165;1;CASH_OUT;344464.4;C793293778;0;0;C766572210;1133312.56;0
166;1;CASH_OUT;169409.87;C888611662;0;0;C401424608;909124.16;1178808.14
